time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.00000000,-19.99999998,19.99999992,1.88964148,0.20000000,-0.00000001,0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,-19.99999998,19.99999992,1.88964148,0.20000000,-0.00000001,0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.09764890,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,-19.99599958,19.99999992,1.88964148,0.20009809,-0.00000001,0.00000016,0.01915874,0.00000000,-0.00000000,2.76065597,0.00000002,-0.00000061,253.97952110,0.00000195,-0.00005379,0.99999952,-0.00000000,0.00097649,-0.00000000,-0.00000000,0.34660665,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.04000000,-19.99198819,19.99999992,1.88964148,0.20142807,-0.00000001,0.00000016,0.13601717,0.00000000,-0.00000003,9.38027079,0.00000007,-0.00000192,390.97677591,0.00000259,-0.00007274,0.99997597,-0.00000000,0.00693208,-0.00000000,-0.00000001,0.98605492,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.06000000,-19.98791721,19.99999992,1.88964149,0.20656960,-0.00000001,0.00000016,0.40631877,0.00000000,-0.00000008,17.80976778,0.00000012,-0.00000337,439.34410874,0.00000239,-0.00006905,0.99978581,-0.00000000,0.02069611,-0.00000000,-0.00000001,1.81470787,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.08000000,-19.98367788,19.99999992,1.88964149,0.21884385,-0.00000001,0.00000015,0.85021905,0.00000001,-0.00000016,26.52582023,0.00000016,-0.00000459,423.35295570,0.00000172,-0.00005212,0.99906589,-0.00000000,0.04321283,-0.00000000,-0.00000002,2.66369842,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.10000000,-19.97909283,19.99999992,1.88964149,0.24170148,-0.00000001,0.00000015,1.46200386,0.00000001,-0.00000026,34.45216589,0.00000019,-0.00000541,363.48735201,0.00000083,-0.00002897,0.99726535,-0.00000000,0.07390411,-0.00000000,-0.00000002,3.39832599,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.12000000,-19.97391815,19.99999992,1.88964150,0.27828975,-0.00000001,0.00000014,2.21829282,0.00000001,-0.00000038,40.88680211,0.00000019,-0.00000575,276.73828912,-0.00000008,-0.00000461,0.99382445,-0.00000000,0.11096382,-0.00000000,-0.00000002,3.91814356,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.14000000,-19.96785246,19.99999992,1.88964150,0.33116944,-0.00000001,0.00000014,3.08484555,0.00000002,-0.00000049,45.43506653,0.00000018,-0.00000561,176.89771049,-0.00000088,0.00001760,0.98841953,-0.00000000,0.15174594,-0.00000000,-0.00000002,4.16776505,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.16000000,-19.96055048,19.99999992,1.88964150,0.40215502,-0.00000001,0.00000012,4.02208819,0.00000002,-0.00000060,47.94858400,0.00000016,-0.00000507,74.85093459,-0.00000152,0.00003558,0.98113513,-0.00000000,0.19332319,-0.00000000,-0.00000002,4.14610232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.18000000,-19.95163866,19.99999992,1.88964150,0.49225340,-0.00000001,0.00000011,4.98947717,0.00000002,-0.00000069,48.47003609,0.00000013,-0.00000422,-21.13370595,-0.00000195,0.00004832,0.97245459,-0.00000000,0.23309240,-0.00000000,-0.00000001,3.90045747,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.20000000,-19.94073133,19.99999992,1.88964151,0.60167937,-0.00000000,0.00000010,5.94881604,0.00000003,-0.00000076,47.18368552,0.00000008,-0.00000317,-105.11922032,-0.00000216,0.00005559,0.96308564,-0.00000000,0.26919518,-0.00000000,-0.00000001,3.50471016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22000000,-19.92744587,19.99999992,1.88964151,0.72992785,-0.00000000,0.00000008,6.86663970,0.00000003,-0.00000082,44.37156335,0.00000004,-0.00000203,-173.21952194,-0.00000218,0.00005773,0.95374159,-0.00000000,0.30062765,-0.00000000,-0.00000000,3.03384459,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.24000000,-19.91141605,19.99999992,1.88964151,0.87588545,-0.00000000,0.00000006,7.71577787,0.00000003,-0.00000085,40.37520284,-0.00000000,-0.00000089,-223.32540846,-0.00000204,0.00005547,0.94498939,-0.00000000,0.32710097,-0.00000000,0.00000000,2.54714994,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.26000000,-19.89230289,19.99999992,1.88964151,1.03796592,-0.00000000,0.00000005,8.47620774,0.00000003,-0.00000085,35.56277934,-0.00000004,0.00000016,-254.83817068,-0.00000178,0.00004978,0.93719604,-0.00000000,0.34880308,-0.00000000,0.00000000,2.08329999,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.28000000,-19.86980264,19.99999992,1.88964151,1.21425659,-0.00000000,0.00000003,9.13530198,0.00000003,-0.00000084,30.30149176,-0.00000007,0.00000108,-268.41204151,-0.00000144,0.00004174,0.93054419,-0.00000000,0.36617962,-0.00000000,0.00000001,1.66329917,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.30000000,-19.84365184,19.99999992,1.88964151,1.40266441,-0.00000000,0.00000001,9.68757532,0.00000002,-0.00000081,24.93499639,-0.00000010,0.00000182,-265.70669633,-0.00000107,0.00003241,0.92507638,-0.00000000,0.37978110,-0.00000000,0.00000001,1.29608414,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.32000000,-19.81362954,19.99999992,1.88964151,1.60105290,-0.00000000,-0.00000000,10.13402856,0.00000002,-0.00000077,19.76568032,-0.00000012,0.00000238,-249.15101595,-0.00000069,0.00002280,0.92074065,-0.00000000,0.39017517,-0.00000000,0.00000001,0.98361166,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.34000000,-19.77955696,19.99999992,1.88964151,1.80736261,-0.00000000,-0.00000002,10.48118449,0.00000002,-0.00000072,15.04153664,-0.00000013,0.00000274,-221.71932334,-0.00000035,0.00001376,0.91742673,-0.00000000,0.39790476,-0.00000000,0.00000001,0.72436865,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.36000000,-19.74129484,19.99999992,1.88964151,2.01971004,-0.00000000,-0.00000003,10.73990513,0.00000002,-0.00000066,10.94738028,-0.00000013,0.00000293,-186.72130548,-0.00000006,0.00000597,0.91499161,-0.00000000,0.40347287,-0.00000000,0.00000001,0.51535904,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.38000000,-19.69873926,19.99999992,1.88964151,2.23646144,-0.00000000,-0.00000004,10.92407440,0.00000001,-0.00000060,7.60011836,-0.00000013,0.00000299,-147.60683151,0.00000014,-0.00000010,0.91327679,-0.00000000,0.40733954,-0.00000000,0.00000001,0.35297391,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.40000000,-19.65181601,19.99999992,1.88964151,2.45627949,-0.00000000,-0.00000005,11.04922411,0.00000001,-0.00000054,5.04776513,-0.00000012,0.00000294,-107.78687843,0.00000027,-0.00000418,0.91212052,-0.00000000,0.40992213,-0.00000000,0.00000001,0.23315894,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.42000000,-19.60047452,19.99999992,1.88964151,2.67814263,0.00000000,-0.00000006,11.13117500,0.00000001,-0.00000048,3.27186728,-0.00000012,0.00000284,-70.47177561,0.00000032,-0.00000621,0.91136737,-0.00000000,0.41159387,-0.00000000,0.00000001,0.15121118,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.44000000,-19.54468149,19.99999992,1.88964151,2.90133785,0.00000000,-0.00000007,11.18475735,0.00000001,-0.00000043,2.19298099,-0.00000011,0.00000271,-38.52797927,0.00000029,-0.00000634,0.91087666,-0.00000000,0.41267871,-0.00000000,0.00000001,0.10145995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.46000000,-19.48441508,19.99999992,1.88964150,3.12542915,0.00000000,-0.00000008,11.22266854,0.00000000,-0.00000037,1.67881818,-0.00000011,0.00000259,-14.35458831,0.00000021,-0.00000487,0.91053029,-0.00000000,0.41344237,-0.00000000,0.00000001,0.07702504,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.48000000,-19.41965980,19.99999992,1.88964150,3.35020502,0.00000000,-0.00000009,11.25451682,0.00000000,-0.00000032,1.55465490,-0.00000010,0.00000252,0.21918737,0.00000009,-0.00000221,0.91023985,-0.00000000,0.41408142,-0.00000000,0.00000001,0.06978410,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.50000000,-19.35040271,19.99999992,1.88964150,3.57560896,0.00000000,-0.00000009,11.28609231,0.00000000,-0.00000027,1.61557073,-0.00000010,0.00000251,4.01439484,-0.00000005,0.00000110,0.90995237,-0.00000000,0.41471278,-0.00000000,0.00000001,0.07060595,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.52000000,-19.27663113,19.99999992,1.88964150,3.80165791,0.00000000,-0.00000010,11.31889730,-0.00000000,-0.00000022,1.64006383,-0.00000011,0.00000257,-3.44066894,-0.00000018,0.00000449,0.90965421,-0.00000000,0.41536638,-0.00000000,0.00000001,0.06982111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.54000000,-19.19833205,19.99999992,1.88964150,4.02835421,0.00000000,-0.00000010,11.34995870,-0.00000000,-0.00000017,1.40456197,-0.00000011,0.00000269,-21.87805042,-0.00000028,0.00000740,0.90937237,-0.00000000,0.41598305,-0.00000000,0.00000001,0.05782314,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.56000000,-19.11549328,19.99999992,1.88964149,4.25559659,0.00000000,-0.00000011,11.37193540,-0.00000001,-0.00000012,0.69832578,-0.00000012,0.00000286,-50.28353021,-0.00000033,0.00000929,0.90917324,0.00000000,0.41641808,-0.00000000,0.00000001,0.02564818,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.58000000,-19.02810641,19.99999992,1.88964149,4.48309643,0.00000000,-0.00000011,11.37352328,-0.00000001,-0.00000006,-0.66178393,-0.00000012,0.00000305,-86.91702257,-0.00000031,0.00000972,0.90915886,0.00000000,0.41644947,-0.00000000,0.00000001,-0.03461650,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.60000000,-18.93617130,19.99999992,1.88964149,4.71030496,-0.00000000,-0.00000011,11.34014966,-0.00000001,0.00000001,-2.81722696,-0.00000013,0.00000323,-129.36119485,-0.00000022,0.00000837,0.90946132,0.00000000,0.41578853,-0.00000000,0.00000001,-0.12969294,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.62000000,-18.83970185,19.99999992,1.88964149,4.93635708,-0.00000000,-0.00000011,11.25493760,-0.00000001,0.00000007,-5.85496924,-0.00000013,0.00000337,-174.59951812,-0.00000004,0.00000508,0.91023602,0.00000000,0.41408984,-0.00000000,0.00000001,-0.26525901,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.64000000,-18.73873275,19.99999992,1.88964149,5.16003696,-0.00000000,-0.00000011,11.09990891,-0.00000002,0.00000014,-9.79653378,-0.00000013,0.00000342,-219.12496028,0.00000021,-0.00000014,0.91165435,0.00000000,0.41095785,-0.00000000,0.00000001,-0.44631132,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.66000000,-18.63332661,19.99999992,1.88964148,5.37976971,-0.00000000,-0.00000010,10.85738225,-0.00000002,0.00000021,-14.58954195,-0.00000012,0.00000335,-259.08053272,0.00000053,-0.00000706,0.91389596,0.00000000,0.40594848,-0.00000000,0.00000001,-0.67759856,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.68000000,-18.52358096,19.99999992,1.88964148,5.59364251,-0.00000000,-0.00000010,10.51151021,-0.00000002,0.00000027,-20.10239433,-0.00000011,0.00000313,-290.43290211,0.00000090,-0.00001526,0.91713975,0.00000000,0.39856577,-0.00000000,0.00000001,-0.96391013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.70000000,-18.40963458,19.99999992,1.88964148,5.79945731,-0.00000000,-0.00000009,10.04988562,-0.00000002,0.00000033,-26.12276462,-0.00000009,0.00000274,-309.18027811,0.00000128,-0.00002410,0.92155162,0.00000000,0.38825587,-0.00000000,0.00000001,-1.30991782,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.72000000,-18.29167236,19.99999992,1.88964148,5.99481564,-0.00000000,-0.00000008,9.46513423,-0.00000002,0.00000038,-32.36060403,-0.00000006,0.00000217,-311.59578867,0.00000163,-0.00003280,0.92726560,0.00000000,0.37440420,-0.00000000,0.00000001,-1.71913541,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.74000000,-18.16992823,19.99999992,1.88964148,6.17723437,-0.00000000,-0.00000008,8.75639610,-0.00000003,0.00000042,-38.45637824,-0.00000002,0.00000143,-294.50755385,0.00000193,-0.00004042,0.93435361,0.00000000,0.35634720,-0.00000000,0.00000001,-2.19138256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.76000000,-18.04468546,19.99999992,1.88964148,6.34428905,-0.00000000,-0.00000007,7.93058374,-0.00000003,0.00000044,-43.99528290,0.00000002,0.00000057,-255.61666959,0.00000211,-0.00004596,0.94277917,0.00000000,0.33341780,-0.00000000,0.00000000,-2.71804262,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.78000000,-17.91627386,19.99999992,1.88964147,6.49377913,-0.00000000,-0.00000006,7.00328980,-0.00000002,0.00000044,-48.52820797,0.00000006,-0.00000038,-193.85431254,0.00000216,-0.00004845,0.95233520,0.00000000,0.30505356,-0.00000000,0.00000000,-3.27479657,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.80000000,-17.78506351,19.99999992,1.88964147,6.62390668,-0.00000000,-0.00000005,5.99920133,-0.00000002,0.00000042,-51.60024546,0.00000010,-0.00000135,-109.77917731,0.00000202,-0.00004700,0.96257967,0.00000000,0.27099886,-0.00000000,-0.00000000,-3.81318774,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.82000000,-17.65145494,19.99999992,1.88964147,6.73345709,-0.00000000,-0.00000004,4.95186169,-0.00000002,0.00000039,-52.78755938,0.00000014,-0.00000223,-6.01645730,0.00000167,-0.00004097,0.97280906,0.00000000,0.23160860,-0.00000000,-0.00000001,-4.25590912,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.84000000,-17.51586569,19.99999992,1.88964147,6.82196707,-0.00000001,-0.00000003,3.90260437,-0.00000002,0.00000034,-51.74346080,0.00000017,-0.00000295,112.26041970,0.00000112,-0.00003015,0.98213386,0.00000000,0.18818361,-0.00000000,-0.00000001,-4.50437580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.86000000,-17.37871391,19.99999992,1.88964147,6.88986149,-0.00000001,-0.00000003,2.89846619,-0.00000001,0.00000027,-48.25455524,0.00000018,-0.00000341,236.80408969,0.00000038,-0.00001488,0.98970101,0.00000000,0.14314993,-0.00000000,-0.00000001,-4.46492495,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.88000000,-17.24039958,19.99999992,1.88964147,6.93853648,-0.00000001,-0.00000002,1.98886922,-0.00000001,0.00000020,-42.30785392,0.00000018,-0.00000353,355.72237344,-0.00000049,0.00000368,0.99500278,0.00000000,0.09984724,-0.00000000,-0.00000001,-4.08686235,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.90000000,-17.10128498,19.99999992,1.88964147,6.97036199,-0.00000001,-0.00000002,1.22084341,-0.00000001,0.00000013,-34.16976437,0.00000017,-0.00000325,452.86100883,-0.00000138,0.00002333,0.99808443,0.00000000,0.06186662,-0.00000000,-0.00000001,-3.39093850,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.92000000,-16.96167601,19.99999992,1.88964147,6.98857217,-0.00000001,-0.00000002,0.63254270,-0.00000000,0.00000007,-24.47790049,0.00000013,-0.00000261,507.13878347,-0.00000213,0.00004055,0.99948178,0.00000000,0.03218956,-0.00000000,-0.00000001,-2.47161251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.94000000,-16.82180730,19.99999992,1.88964147,6.99700684,-0.00000001,-0.00000002,0.24478875,-0.00000000,0.00000003,-14.34667589,0.00000008,-0.00000168,491.83385617,-0.00000251,0.00005015,0.99992220,0.00000000,0.01247358,-0.00000000,-0.00000001,-1.48142705,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.96000000,-16.68183416,19.99999992,1.88964147,6.99966164,-0.00000001,-0.00000002,0.05035673,-0.00000000,0.00000001,-5.48766916,0.00000003,-0.00000070,373.82005620,-0.00000219,0.00004494,0.99999671,0.00000000,0.00256658,-0.00000000,-0.00000000,-0.62191702,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.98000000,-16.54183596,19.99999992,1.88964147,6.99999895,-0.00000001,-0.00000002,0.00069772,-0.00000000,0.00000000,-0.34577341,0.00000000,-0.00000005,112.75194905,-0.00000073,0.00001534,1.00000000,0.00000000,0.00003556,-0.00000000,-0.00000000,-0.19760727,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.98597657,-16.49999998,19.99999992,1.88964147,7.00000000,-0.00000001,-0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00273799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.98597657,-16.49999998,19.99999992,1.88964147,7.00000000,-0.00000001,-0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00747314,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.00597657,-16.35999993,19.99999992,1.88964147,7.00000982,-0.00000001,-0.00000002,0.00146623,-0.00000000,-0.00000000,0.14524494,-0.00000000,-0.00000000,7.05633529,-0.00000001,-0.00000002,1.00000000,0.00000000,0.00007473,-0.00000000,-0.00000000,0.01466697,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
